"","URN","Local.authority","Region","Sector_merge","Places","Organisation","Registration.date","overspend_category","outsourcing_category","new_LA_places","new_LA_homes","matched"
"1","2503306","LINCOLNSHIRE","East Midlands","Corporate owned",6,"Unique Care Homes Support Limited","29/05/2019","low-overspend","low-outsourcing",17,3,1
"2","SC465079","MIDDLESBROUGH","North East","Investment owned",1,"Cambian Childcare Ltd","08/07/2013","high-overspend",NA,6,2,1
"3","SC476267","SHROPSHIRE","West Midlands","Investment owned",5,"Cambian Childcare Ltd","06/03/2014","high-overspend",NA,8,4,1
"4","SC487794","SHROPSHIRE","West Midlands","Investment owned",3,"Physis Quantum","17/04/2015","high-overspend",NA,8,4,1
"5","SC487794","SHROPSHIRE","West Midlands","Investment owned",3,"Physis Quantum Limited","17/04/2015","high-overspend",NA,8,4,1
"6","2537322","NEWCASTLE UPON TYNE","North East","Local Authority",1,"Newcastle City Council","17/10/2019","low-overspend","low-outsourcing",11,4,1
"7","1159385","SHROPSHIRE","West Midlands","Investment owned",4,"Cambian Childcare Limited","14/06/2016","high-overspend",NA,8,4,1
"8","1212117","NOTTINGHAMSHIRE","East Midlands","Investment owned",3,"Pathway Care Solutions Ltd 04004053","01/12/2015",NA,"high-outsourcing",2,1,1
"9","1223201","LEEDS","Yorkshire and The Humber","Local Authority",4,"Leeds City Council","10/12/2015",NA,"low-outsourcing",4,1,1
"10","1225136","LANCASHIRE","North West","Investment owned",4,"Cambian Childcare Limited","18/05/2016","low-overspend",NA,6,1,1
"11","1231405","LANCASHIRE","North West","Local Authority",6,"Lancashire County Council","04/02/2016","low-overspend",NA,6,1,1
"12","1240572","LANCASHIRE","North West","Investment owned",4,"Sandcastle Care Ltd","28/11/2016","low-overspend",NA,6,1,1
"13","1240573","LANCASHIRE","North West","Investment owned",4,"Sandcastle Care Ltd","01/12/2016","low-overspend",NA,6,1,1
"14","1250931","EAST SUSSEX","South East","Investment owned",6,"Compass Childrens Homes Limited","22/02/2017","high-overspend",NA,5,1,1
"15","1275189","LEEDS","Yorkshire and The Humber","Investment owned",1,"Pebbles Care Limited","07/07/2018",NA,"low-outsourcing",4,1,1
"16","1275500","EAST SUSSEX","South East","Individual owned",2,"Headstart Residential Care Ltd","04/09/2018","high-overspend",NA,5,1,1
"17","1277079","CALDERDALE","Yorkshire and The Humber","Individual owned",2,"Restorative Social Care Services Ltd","16/04/2018","high-overspend",NA,3,1,1
"18","2502314","SHROPSHIRE","West Midlands","Investment owned",3,"Cambian Childcare Limited","29/01/2019","high-overspend",NA,8,4,1
"19","2517184","DURHAM","North East","Corporate owned",2,"Roc Family Support Ltd","21/03/2019",NA,"low-outsourcing",15,6,1
"20","2538785","SHROPSHIRE","West Midlands","Third sector",7,"Action for Children","01/10/2019","high-overspend",NA,8,4,1
"21","2563544","LANCASHIRE","North West","Corporate owned",3,"Meadows Care Limited","20/02/2020","low-overspend",NA,6,1,1
"22","2577168","LANCASHIRE","North West","Individual owned",4,"Gracewells Care Ltd","04/05/2020","low-overspend",NA,6,1,1
"23","2590732","LANCASHIRE","North West","Investment owned",2,"Sandcastle Care Ltd","09/07/2020","low-overspend",NA,6,1,1
"24","2591854","EAST SUSSEX","South East","Individual owned",5,"J & R Care Limited","21/08/2020","high-overspend",NA,5,1,1
"25","2592846","CALDERDALE","Yorkshire and The Humber","Individual owned",2,"Laska Care And Education Ltd","19/10/2020","high-overspend",NA,3,1,1
"26","2593032","DERBYSHIRE","East Midlands","Investment owned",3,"Smooth Stone Care & Education Ltd","09/07/2020","high-overspend",NA,5,2,1
"27","2596008","EAST SUSSEX","South East","Corporate owned",2,"Anderida Adolescent Care Ltd","13/08/2020","high-overspend",NA,5,1,1
"28","2608195","LANCASHIRE","North West","Corporate owned",2,"Hexagon Care Services Ltd","03/11/2020","low-overspend",NA,6,1,1
