"","URN","Local.authority","Region","Sector_merge","Places","Organisation","Registration.date","overspend_category","outsourcing_category","new_LA_places","new_LA_homes","matched"
"1","2531620","CAMBRIDGESHIRE","East of England","Individual owned",5,"Higher Hopes Ltd","11/06/2019","low-overspend",NA,17,3,1
"2","SC482418","DURHAM","North East","Individual owned",4,"Hennessy Living Group Limited","13/04/2015",NA,"low-outsourcing",15,6,1
"3","2582246","LANCASHIRE","North West","Investment owned",2,"Sandcastle Care Ltd","04/03/2020","low-overspend",NA,6,1,1
"4","SC404596","DERBYSHIRE","East Midlands","LA owned company",24,"The Senad Group Limited","03/12/2009","high-overspend",NA,5,2,1
"5","SC358046","DERBYSHIRE","East Midlands","LA owned company",32,"The Senad Group Limited","22/05/2009","high-overspend",NA,5,2,1
"6","SC372504","DERBYSHIRE","East Midlands","LA owned company",55,"The Senad Group Limited","14/08/2009","high-overspend",NA,5,2,1
"7","SC020193","DERBYSHIRE","East Midlands","LA owned company",25,"The SENAD Group Limited","29/01/2001","high-overspend",NA,5,2,1
"8","SC472417","HARTLEPOOL","North East","Local Authority",4,"Hartlepool Borough Council","10/01/2014",NA,"low-outsourcing",6,2,1
"9","2584908","SHROPSHIRE","West Midlands","Local Authority",2,"Shropshire Council","07/10/2020","high-overspend",NA,8,4,1
"10","SC033457","LEEDS","Yorkshire and The Humber","Local Authority",24,"Leeds City Council","10/07/2003",NA,"low-outsourcing",4,1,1
"11","SC031490","EAST SUSSEX","South East","Local Authority",7,"East Sussex County Council","11/08/2003","high-overspend",NA,5,1,1
"12","SC044291","NOTTINGHAMSHIRE","East Midlands","Local Authority",3,"Nottinghamshire County Council","05/12/2003",NA,"high-outsourcing",2,1,1
"13","SC033723","LEEDS","Yorkshire and The Humber","Local Authority",5,"Leeds City Council","17/07/2003",NA,"low-outsourcing",4,1,1
"14","SC064735","LANCASHIRE","North West","Local Authority",3,"Lancashire County Council","27/09/2005","low-overspend",NA,6,1,1
"15","2608630","YORK","Yorkshire and The Humber","Local Authority",8,"City of York Council","16/11/2020","high-overspend","low-outsourcing",15,3,1
"16","2565716","MIDDLESBROUGH","North East","Local Authority",4,"Middlesbrough Borough Council","26/11/2019","high-overspend",NA,6,2,1
"17","SC432843","NEWCASTLE UPON TYNE","North East","Third sector",7,"Talbot House Children's Charity Limited","17/02/2012","low-overspend","low-outsourcing",11,4,1
"18","SC466284","NOTTINGHAMSHIRE","East Midlands","Third sector",7,"The Caldecott Foundation Limited","05/12/2013",NA,"high-outsourcing",2,1,1
"19","2691185","NOTTINGHAMSHIRE","East Midlands","Third sector",4,"YMCA Robin Hood Group","27/09/2022",NA,"high-outsourcing",2,1,1
"20","SC441865","NOTTINGHAMSHIRE","East Midlands","Third sector",3,"Shyne Together Limited","29/07/2012",NA,"high-outsourcing",2,1,1
"21","SC439153","CAMBRIDGESHIRE","East of England","Third sector",4,"Break","01/02/2012","low-overspend",NA,17,3,1
"22","1244117","NOTTINGHAMSHIRE","East Midlands","Third sector",5,"Caldecott Foundation Limited","01/12/2016",NA,"high-outsourcing",2,1,1
"23","SC025733","CAMBRIDGESHIRE","East of England","Third sector",17,"Friends Therapeutic Community Trust","19/06/1973","low-overspend",NA,17,3,1
"24","SC020675","SHROPSHIRE","West Midlands","Third sector",4,"Action for Children","01/01/1998","high-overspend",NA,8,4,1
"25","SC010415","BARNET","London","Third sector",9,"Norwood Ravenswood","24/04/1994",NA,"high-outsourcing",6,1,1
"26","SC396813","EAST SUSSEX","South East","Third sector",27,"Chailey Heritage Foundation","15/07/2009","high-overspend",NA,5,1,1
"27","SC482411","LINCOLNSHIRE","East Midlands","Corporate owned",6,"Hexagon Care Services Ltd","05/12/2014","low-overspend","low-outsourcing",17,3,1
"28","SC484402","NOTTINGHAMSHIRE","East Midlands","Individual owned",3,"Footsteps to Futures Limited","19/01/2015",NA,"high-outsourcing",2,1,1
"29","2500044","DERBYSHIRE","East Midlands","Individual owned",2,"Blue Mountain Homes Ltd","13/12/2018","high-overspend",NA,5,2,1
"30","SC036262","DERBYSHIRE","East Midlands","Local Authority",3,"Derbyshire County Council","25/03/2004","high-overspend",NA,5,2,1
"31","SC020171","DERBYSHIRE","East Midlands","Individual owned",7,"Arnfield Care Limited","09/05/2001","high-overspend",NA,5,2,1
